=== TOKENS DETECTADOS ===
Línea 1: using (Identificador)
Línea 1: System (Identificador)
Línea 1: ; (Signo)
Línea 3: namespace (Identificador)
Línea 3: TicTacToe (Identificador)
Línea 4: { (Signo)
Línea 5: class (Identificador)
Línea 5: TicTacToe (Identificador)
Línea 6: { (Signo)
Línea 7: static (Identificador)
Línea 7: void (Identificador)
Línea 7: Main (Identificador)
Línea 7: ( (Signo)
Línea 7: string (Identificador)
Línea 7: args (Identificador)
Línea 7: ) (Signo)
Línea 8: { (Signo)
Línea 9: Random (Identificador)
Línea 9: rand (Identificador)
Línea 9: = (Operador)
Línea 9: new (Identificador)
Línea 9: Random (Identificador)
Línea 9: ( (Signo)
Línea 9: ) (Signo)
Línea 9: ; (Signo)
Línea 10: char (Identificador)
Línea 10: tictactoe (Identificador)
Línea 10: = (Operador)
Línea 10: new (Identificador)
Línea 10: char (Identificador)
Línea 10: { (Signo)
Línea 10: new (Identificador)
Línea 10: char (Identificador)
Línea 10: { (Signo)
Línea 10: , (Signo)
Línea 10: , (Signo)
Línea 10: } (Signo)
Línea 10: , (Signo)
Línea 10: new (Identificador)
Línea 10: char (Identificador)
Línea 10: { (Signo)
Línea 10: , (Signo)
Línea 10: , (Signo)
Línea 10: } (Signo)
Línea 10: , (Signo)
Línea 10: new (Identificador)
Línea 10: char (Identificador)
Línea 10: { (Signo)
Línea 10: , (Signo)
Línea 10: , (Signo)
Línea 10: } (Signo)
Línea 10: } (Signo)
Línea 10: ; (Signo)
Línea 11: char (Identificador)
Línea 11: ganador (Identificador)
Línea 11: = (Operador)
Línea 11: ; (Signo)
Línea 12: bool (Identificador)
Línea 12: juega_cpu (Identificador)
Línea 12: = (Operador)
Línea 12: rand (Identificador)
Línea 12: Next (Identificador)
Línea 12: ( (Signo)
Línea 12: 2 (Número)
Línea 12: ) (Signo)
Línea 12: == (Operador)
Línea 12: 1 (Número)
Línea 12: ; (Signo)
Línea 13: int (Identificador)
Línea 13: i (Identificador)
Línea 13: , (Signo)
Línea 13: j (Identificador)
Línea 13: , (Signo)
Línea 13: turnos (Identificador)
Línea 13: ; (Signo)
Línea 14: for (Identificador)
Línea 14: ( (Signo)
Línea 14: turnos (Identificador)
Línea 14: = (Operador)
Línea 14: 0 (Número)
Línea 14: ; (Signo)
Línea 14: turnos (Identificador)
Línea 14: < (Operador)
Línea 14: 9 (Número)
Línea 14: ganador (Identificador)
Línea 14: != (Operador)
Línea 14: O (Identificador)
Línea 14: ganador (Identificador)
Línea 14: != (Operador)
Línea 14: X (Identificador)
Línea 14: ; (Signo)
Línea 14: turnos (Identificador)
Línea 14: + (Operador)
Línea 14: + (Operador)
Línea 14: ) (Signo)
Línea 15: { (Signo)
Línea 16: if (Identificador)
Línea 16: ( (Signo)
Línea 16: juega_cpu (Identificador)
Línea 16: ) (Signo)
Línea 17: { (Signo)
Línea 18: do (Identificador)
Línea 19: { (Signo)
Línea 20: i (Identificador)
Línea 20: = (Operador)
Línea 20: rand (Identificador)
Línea 20: Next (Identificador)
Línea 20: ( (Signo)
Línea 20: 3 (Número)
Línea 20: ) (Signo)
Línea 20: ; (Signo)
Línea 21: j (Identificador)
Línea 21: = (Operador)
Línea 21: rand (Identificador)
Línea 21: Next (Identificador)
Línea 21: ( (Signo)
Línea 21: 3 (Número)
Línea 21: ) (Signo)
Línea 21: ; (Signo)
Línea 22: } (Signo)
Línea 22: while (Identificador)
Línea 22: ( (Signo)
Línea 22: tictactoe (Identificador)
Línea 22: i (Identificador)
Línea 22: j (Identificador)
Línea 22: != (Operador)
Línea 22: ) (Signo)
Línea 22: ; (Signo)
Línea 23: tictactoe (Identificador)
Línea 23: i (Identificador)
Línea 23: j (Identificador)
Línea 23: = (Operador)
Línea 23: O (Identificador)
Línea 23: ; (Signo)
Línea 24: } (Signo)
Línea 25: else (Identificador)
Línea 26: { (Signo)
Línea 27: imprimirCuadricula (Identificador)
Línea 27: ( (Signo)
Línea 27: tictactoe (Identificador)
Línea 27: ) (Signo)
Línea 27: ; (Signo)
Línea 28: do (Identificador)
Línea 29: { (Signo)
Línea 30: i (Identificador)
Línea 30: = (Operador)
Línea 30: leerNumero (Identificador)
Línea 30: ( (Signo)
Línea 30: rengl (Identificador)
Línea 30: u00F3n (Identificador)
Línea 30: ) (Signo)
Línea 30: ; (Signo)
Línea 31: j (Identificador)
Línea 31: = (Operador)
Línea 31: leerNumero (Identificador)
Línea 31: ( (Signo)
Línea 31: columna (Identificador)
Línea 31: ) (Signo)
Línea 31: ; (Signo)
Línea 32: if (Identificador)
Línea 32: ( (Signo)
Línea 32: tictactoe (Identificador)
Línea 32: i (Identificador)
Línea 32: j (Identificador)
Línea 32: != (Operador)
Línea 32: ) (Signo)
Línea 33: Console (Identificador)
Línea 33: WriteLine (Identificador)
Línea 33: ( (Signo)
Línea 33: La (Identificador)
Línea 33: casilla (Identificador)
Línea 33: seleccionada (Identificador)
Línea 33: ya (Identificador)
Línea 33: est (Identificador)
Línea 33: u00E1 (Identificador)
Línea 33: ocupada (Identificador)
Línea 33: n (Identificador)
Línea 33: ) (Signo)
Línea 33: ; (Signo)
Línea 34: } (Signo)
Línea 34: while (Identificador)
Línea 34: ( (Signo)
Línea 34: tictactoe (Identificador)
Línea 34: i (Identificador)
Línea 34: j (Identificador)
Línea 34: != (Operador)
Línea 34: ) (Signo)
Línea 34: ; (Signo)
Línea 35: tictactoe (Identificador)
Línea 35: i (Identificador)
Línea 35: j (Identificador)
Línea 35: = (Operador)
Línea 35: X (Identificador)
Línea 35: ; (Signo)
Línea 36: } (Signo)
Línea 37: for (Identificador)
Línea 37: ( (Signo)
Línea 37: i (Identificador)
Línea 37: = (Operador)
Línea 37: 0 (Número)
Línea 37: ; (Signo)
Línea 37: ganador (Identificador)
Línea 37: == (Operador)
Línea 37: i (Identificador)
Línea 37: < (Operador)
Línea 37: 3 (Número)
Línea 37: ; (Signo)
Línea 37: i (Identificador)
Línea 37: + (Operador)
Línea 37: + (Operador)
Línea 37: ) (Signo)
Línea 38: if (Identificador)
Línea 38: ( (Signo)
Línea 38: tictactoe (Identificador)
Línea 38: i (Identificador)
Línea 38: 0 (Número)
Línea 38: != (Operador)
Línea 38: tictactoe (Identificador)
Línea 38: i (Identificador)
Línea 38: 0 (Número)
Línea 38: == (Operador)
Línea 38: tictactoe (Identificador)
Línea 38: i (Identificador)
Línea 38: 1 (Número)
Línea 38: tictactoe (Identificador)
Línea 38: i (Identificador)
Línea 38: 1 (Número)
Línea 38: == (Operador)
Línea 38: tictactoe (Identificador)
Línea 38: i (Identificador)
Línea 38: 2 (Número)
Línea 38: ) (Signo)
Línea 39: ganador (Identificador)
Línea 39: = (Operador)
Línea 39: tictactoe (Identificador)
Línea 39: i (Identificador)
Línea 39: 0 (Número)
Línea 39: ; (Signo)
Línea 40: for (Identificador)
Línea 40: ( (Signo)
Línea 40: i (Identificador)
Línea 40: = (Operador)
Línea 40: 0 (Número)
Línea 40: ; (Signo)
Línea 40: ganador (Identificador)
Línea 40: == (Operador)
Línea 40: i (Identificador)
Línea 40: < (Operador)
Línea 40: 3 (Número)
Línea 40: ; (Signo)
Línea 40: i (Identificador)
Línea 40: + (Operador)
Línea 40: + (Operador)
Línea 40: ) (Signo)
Línea 41: if (Identificador)
Línea 41: ( (Signo)
Línea 41: tictactoe (Identificador)
Línea 41: 0 (Número)
Línea 41: i (Identificador)
Línea 41: != (Operador)
Línea 41: tictactoe (Identificador)
Línea 41: 0 (Número)
Línea 41: i (Identificador)
Línea 41: == (Operador)
Línea 41: tictactoe (Identificador)
Línea 41: 1 (Número)
Línea 41: i (Identificador)
Línea 41: tictactoe (Identificador)
Línea 41: 1 (Número)
Línea 41: i (Identificador)
Línea 41: == (Operador)
Línea 41: tictactoe (Identificador)
Línea 41: 2 (Número)
Línea 41: i (Identificador)
Línea 41: ) (Signo)
Línea 42: ganador (Identificador)
Línea 42: = (Operador)
Línea 42: tictactoe (Identificador)
Línea 42: 0 (Número)
Línea 42: i (Identificador)
Línea 42: ; (Signo)
Línea 43: if (Identificador)
Línea 43: ( (Signo)
Línea 43: ganador (Identificador)
Línea 43: == (Operador)
Línea 43: tictactoe (Identificador)
Línea 43: 0 (Número)
Línea 43: 0 (Número)
Línea 43: != (Operador)
Línea 43: tictactoe (Identificador)
Línea 43: 0 (Número)
Línea 43: 0 (Número)
Línea 43: == (Operador)
Línea 43: tictactoe (Identificador)
Línea 43: 1 (Número)
Línea 43: 1 (Número)
Línea 43: tictactoe (Identificador)
Línea 43: 1 (Número)
Línea 43: 1 (Número)
Línea 43: == (Operador)
Línea 43: tictactoe (Identificador)
Línea 43: 2 (Número)
Línea 43: 2 (Número)
Línea 43: ) (Signo)
Línea 44: ganador (Identificador)
Línea 44: = (Operador)
Línea 44: tictactoe (Identificador)
Línea 44: 0 (Número)
Línea 44: 0 (Número)
Línea 44: ; (Signo)
Línea 45: if (Identificador)
Línea 45: ( (Signo)
Línea 45: ganador (Identificador)
Línea 45: == (Operador)
Línea 45: tictactoe (Identificador)
Línea 45: 0 (Número)
Línea 45: 2 (Número)
Línea 45: != (Operador)
Línea 45: tictactoe (Identificador)
Línea 45: 0 (Número)
Línea 45: 2 (Número)
Línea 45: == (Operador)
Línea 45: tictactoe (Identificador)
Línea 45: 1 (Número)
Línea 45: 1 (Número)
Línea 45: tictactoe (Identificador)
Línea 45: 1 (Número)
Línea 45: 1 (Número)
Línea 45: == (Operador)
Línea 45: tictactoe (Identificador)
Línea 45: 2 (Número)
Línea 45: 0 (Número)
Línea 45: ) (Signo)
Línea 46: ganador (Identificador)
Línea 46: = (Operador)
Línea 46: tictactoe (Identificador)
Línea 46: 0 (Número)
Línea 46: 2 (Número)
Línea 46: ; (Signo)
Línea 47: juega_cpu (Identificador)
Línea 47: = (Operador)
Línea 47: juega_cpu (Identificador)
Línea 47: ; (Signo)
Línea 48: } (Signo)
Línea 49: imprimirCuadricula (Identificador)
Línea 49: ( (Signo)
Línea 49: tictactoe (Identificador)
Línea 49: ) (Signo)
Línea 49: ; (Signo)
Línea 50: switch (Identificador)
Línea 50: ( (Signo)
Línea 50: ganador (Identificador)
Línea 50: ) (Signo)
Línea 51: { (Signo)
Línea 52: case (Identificador)
Línea 52: O (Identificador)
Línea 52: Console (Identificador)
Línea 52: WriteLine (Identificador)
Línea 52: ( (Signo)
Línea 52: La (Identificador)
Línea 52: computadora (Identificador)
Línea 52: ha (Identificador)
Línea 52: ganado (Identificador)
Línea 52: ) (Signo)
Línea 52: ; (Signo)
Línea 52: break (Identificador)
Línea 52: ; (Signo)
Línea 53: case (Identificador)
Línea 53: X (Identificador)
Línea 53: Console (Identificador)
Línea 53: WriteLine (Identificador)
Línea 53: ( (Signo)
Línea 53: El (Identificador)
Línea 53: usuario (Identificador)
Línea 53: ha (Identificador)
Línea 53: ganado (Identificador)
Línea 53: ) (Signo)
Línea 53: ; (Signo)
Línea 53: break (Identificador)
Línea 53: ; (Signo)
Línea 54: case (Identificador)
Línea 54: Console (Identificador)
Línea 54: WriteLine (Identificador)
Línea 54: ( (Signo)
Línea 54: Empate (Identificador)
Línea 54: ) (Signo)
Línea 54: ; (Signo)
Línea 54: break (Identificador)
Línea 54: ; (Signo)
Línea 55: } (Signo)
Línea 56: Console (Identificador)
Línea 56: Write (Identificador)
Línea 56: ( (Signo)
Línea 56: nPresione (Identificador)
Línea 56: una (Identificador)
Línea 56: tecla (Identificador)
Línea 56: para (Identificador)
Línea 56: terminar (Identificador)
Línea 56: ) (Signo)
Línea 56: ; (Signo)
Línea 57: Console (Identificador)
Línea 57: ReadKey (Identificador)
Línea 57: ( (Signo)
Línea 57: ) (Signo)
Línea 57: ; (Signo)
Línea 58: } (Signo)
Línea 60: static (Identificador)
Línea 60: void (Identificador)
Línea 60: imprimirCuadricula (Identificador)
Línea 60: ( (Signo)
Línea 60: char (Identificador)
Línea 60: tictactoe (Identificador)
Línea 60: ) (Signo)
Línea 61: { (Signo)
Línea 62: int (Identificador)
Línea 62: i (Identificador)
Línea 62: , (Signo)
Línea 62: j (Identificador)
Línea 62: ; (Signo)
Línea 63: Console (Identificador)
Línea 63: Clear (Identificador)
Línea 63: ( (Signo)
Línea 63: ) (Signo)
